company,latitude,longitude,province,amphur,tumbon
PTT,13.679674,100.645623,กรุงเทพมหานคร,ประเวศ,หนองบอน
PTT,13.69095,100.6467056,กรุงเทพมหานคร,ประเวศ,หนองบอน
BCP,13.69519,100.67309,กรุงเทพมหานคร,ประเวศ,หนองบอน
BCP,13.677794,100.650418,กรุงเทพมหานคร,ประเวศ,หนองบอน
Susco,13.69032492,100.6703168,กรุงเทพมหานคร,ประเวศ,หนองบอน
Shell,13.67764,100.6526,กรุงเทพมหานคร,ประเวศ,หนองบอน
Shell,13.74553,100.5154,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ช่องป้อมปราบ
Shell,13.74757,100.5111,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์
PTG,13.75672,100.5105,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส
BCP,13.78327,100.53918,กรุงเทพมหานคร,พญาไท,พญาไท
BCP,13.788404,100.536362,กรุงเทพมหานคร,พญาไท,พญาไท
Shell,13.77962,100.5444,กรุงเทพมหานคร,พญาไท,พญาไท
PTT,13.7688344,100.540818,กรุงเทพมหานคร,พญาไท,สามเสนใน
PTT,13.77939,100.55613,กรุงเทพมหานคร,พญาไท,สามเสนใน
Shell,13.76834,100.5497,กรุงเทพมหานคร,พญาไท,สามเสนใน
PTG,13.76894,100.5408,กรุงเทพมหานคร,พญาไท,สามเสนใน
BCP,13.6927,100.60783,กรุงเทพมหานคร,พระโขนง,บางจาก
BCP,13.67828,100.63207,กรุงเทพมหานคร,พระโขนง,บางจาก
Shell,13.68644,100.6338,กรุงเทพมหานคร,พระโขนง,บางจาก
PTT,13.68643061,100.6030681,กรุงเทพมหานคร,พระโขนง,พระโขนงใต้
PTT,13.68625525,100.6017244,กรุงเทพมหานคร,พระโขนง,พระโขนงใต้
PTT,13.68724958,100.6016615,กรุงเทพมหานคร,พระโขนง,พระโขนงใต้
BCP,13.683411,100.591079,กรุงเทพมหานคร,พระโขนง,พระโขนงใต้
BCP,13.695445,100.60561,กรุงเทพมหานคร,พระโขนง,พระโขนงใต้
Shell,13.69618,100.6053,กรุงเทพมหานคร,พระโขนง,พระโขนงใต้
PTT,13.76351751,100.4967544,กรุงเทพมหานคร,พระนคร,ชนะสงคราม
Shell,13.75057,100.5044,กรุงเทพมหานคร,พระนคร,สำราญราษฎร์
PTG,13.74113,100.4259,กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง
PTG,13.72921,100.4343,กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน
PTT,13.73681893,100.4388971,กรุงเทพมหานคร,ภาษีเจริญ,บางแวก
PTT,13.7149722,100.4627778,กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า
BCP,13.71302155,100.4323822,กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า
Shell,13.72008,100.456,กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ
PTG,13.72117,100.4595,กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ
PTT,13.819511,100.734122,กรุงเทพมหานคร,มีนบุรี,มีนบุรี
BCP,13.8123,100.70513,กรุงเทพมหานคร,มีนบุรี,มีนบุรี
BCP,13.822769,100.740784,กรุงเทพมหานคร,มีนบุรี,มีนบุรี
BCP,13.796889,100.710495,กรุงเทพมหานคร,มีนบุรี,มีนบุรี
